"Name","Description","Calorie","Dayofweek","Meal"
"Chicken Cordon Bleu or Vegan Loaf Plate","@CIAO : Protein choice of  Chicken Cordon Bleu (4oz) or Vegan Loaf  (4oz), with Brown Gravy (2oz) and sides of Roasted Carrots (4oz) and Saffron Rice Pilaf w/ Peas  (4oz).",560,6,1
"Pork Carnitas or Carrots & Quinoa Plate","@CASCABEL : Protein choice of Pork Carnitas (4oz) or Shredded Carrots & Quinoa (4oz) , with  toppings and sides of Spanish Rice (4oz) and Pinto Beans (4oz).",910,6,1
"Crispy or Vegan Chicken Sandwich","@RUFUS GRILL : Protein choice of Crispy Chicken (4oz) or Breaded Vegan Chicken (4oz), with sides of  Vegan Coleslaw (4oz), and Lay's Original (4oz).",720,6,1
"Mindful Meal","@LAKE WOK : Protein choice of Kerala Fish (Halal) (1pc) or Kerala Roasted Chickpeas and Kale (4oz), with sides of Power Blend Veggie (4oz) and Steamed Rice (4oz).",410,6,1
"Pizza","@CIAO: Choice of Pizza: Pepperoni Pizza, or Cheese Pizza,",540,6,2
"Mindful Meal","@RUFUS: Protein Choice of Ancho Chili Chicken Wings (Halal) (6pc) or Ancho Chili Seitan (4oz) with sides of Steam Brown Rice (4oz) and Steamed Peas & Carrots (4oz).",640,6,2
"Mindful Meal","@LAKE WOK : Protein choice of Char Sui Pork or Char Sui Seitan, with sides of Jasmin Rice and Stir Fry Bok Choy",560,6,2
"Pastry & Bars","Choice of Pastries & Bars",120,6,1
"Pastry (Gluten Free)","Gluten Free Pastries",130,6,1
"Pastry (Vegan)","Vegan Pastries",130,6,1
"Cereal","Choice of Fruit Loops, Mini Wheats or Granola",330,6,1
"Cereal (Gluten Free)","Gluten free Cereals",300,6,1
"Condiments","Choice of  Peanut Butter, Fruit Jelly, Grape Jelly, Butter",35,6,1
"Sugar","Choice of cane sugar, Equal, and Sweet Plus sweetners",30,6,1
"Cream Cheese","Cream Cheese",70,6,1
"Drinks","Choice of Hot Chocolate, Coffee, Decaf Coffee",0,6,1
"Tea","Choice of Teas",0,6,1
"Milk","Choice of Milk, Chocolate Milk, and 2%",120,6,1
"Milk Alternative","Choice of Soy Milk, Soy Chocolate Milk",80,6,1
"Creamers","Choice of Original, Hazelnut, and French Vanilla",10,6,1
"Fruit","Apples, Bananas, Oranges and Seasonal Fruits",60,6,0
"Toppings","Raisins, Cranberries, Pumpkin Seeds, Chocolate Chips, Granola,  Brown Sugar",45,6,0
"Yogurt","Strawberry Yogurt ,  Vanilla Yogurt , Vegan Yogurt",80,6,0
"Oatmeals","Oatmeals, Cream of Wheat (on Weds)",320,6,0
"Toppings","Hummus, Garlic Croutons, Bacon Bits, Chicken, Hard Boiled Egg",25,6,2
"Vegetables","Broccoli, Carrots, Tomatoes, Cucumbers",10,6,2
"Greens","Romaine, Spinach, Iceberg Mix, Sherd Kale",25,6,2
"Dressings","Choice of Caesar, Thousand Island, Ranch or Honey Mustard",230,6,2
